Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,2.356082,2.381953,2.152511,2.212652,2.212652,2437445
2021-06-09,2.208401,2.323668,2.107458,2.298610,2.298610,2619140
2021-06-10,2.299910,2.314991,2.213139,2.300456,2.300456,1239040
2021-06-11,2.299462,2.311634,2.173887,2.180739,2.180739,1465753
2021-06-12,2.180611,2.199395,2.050827,2.050827,2.050827,1830076
2021-06-13,2.051889,2.090441,1.982819,2.064698,2.064698,1488654
2021-06-14,2.057434,2.127476,2.023091,2.081202,2.081202,1543963
2021-06-15,2.102367,2.160292,2.027942,2.143756,2.143756,2637496
2021-06-16,2.044528,2.061287,1.974618,1.982927,1.982927,1973156
2021-06-17,1.982876,2.057866,1.977916,2.040351,2.040351,1525183
2021-06-18,2.042096,2.058547,1.917910,1.933082,1.933082,1546975
2021-06-19,1.932805,1.948552,1.853585,1.917372,1.917372,1648486
2021-06-20,1.917181,2.003289,1.888187,1.973527,1.973527,1979435
2021-06-21,1.970926,2.071592,1.884474,1.917828,1.917828,4934390
2021-06-22,1.918011,1.938650,1.704026,1.707904,1.707904,3072282
2021-06-23,1.708314,1.749401,1.639593,1.681960,1.681960,3236659
2021-06-24,1.670589,1.677745,1.569206,1.587298,1.587298,1332062
2021-06-25,1.585739,1.630421,1.516707,1.531470,1.531470,10603900
2021-06-26,1.531821,1.858101,1.528618,1.804338,1.804338,15025836
2021-06-27,1.804967,1.927887,1.764563,1.926860,1.926860,13457482
2021-06-28,1.929220,1.954463,1.843864,1.849594,1.849594,10073313
2021-06-29,1.849775,2.052796,1.849775,2.016724,2.016724,9695987
2021-06-30,2.017014,2.017014,1.894731,1.975238,1.975238,11972871
2021-07-01,1.975190,2.203722,1.930425,2.163542,2.163542,10378193
2021-07-02,2.164103,2.311630,2.095509,2.295468,2.295468,11856770
2021-07-03,2.295479,3.027908,2.279047,2.857244,2.857244,19217951
2021-07-04,2.857289,3.200842,2.773656,2.809296,2.809296,21014764
2021-07-05,2.809386,2.830239,2.557608,2.607349,2.607349,16706617
2021-07-06,2.608178,2.758822,2.582061,2.670308,2.670308,17077924
2021-07-07,2.670246,2.786105,2.633894,2.733857,2.733857,15993601
2021-07-08,2.734524,3.579371,2.704607,3.344881,3.344881,25905027
2021-07-09,3.344450,3.580852,3.038689,3.104265,3.104265,20788346
2021-07-10,3.104504,3.163375,3.033964,3.144937,3.144937,14389901
2021-07-11,3.141842,3.164318,2.985091,3.021579,3.021579,12632204
2021-07-12,3.021321,3.037391,2.781997,2.833726,2.833726,12085665
2021-07-13,2.833957,3.048941,2.824833,2.971982,2.971982,13051774
2021-07-14,2.972385,3.066086,2.884423,2.969721,2.969721,12895077
2021-07-15,2.969467,3.516817,2.969467,3.243119,3.243119,13380865
2021-07-16,3.243460,3.322764,3.034434,3.088662,3.088662,14214510
2021-07-17,3.088682,3.102842,2.941108,3.081647,3.081647,9587149
2021-07-18,3.081823,3.197705,3.010769,3.038599,3.038599,7943821
2021-07-19,3.038817,3.351999,3.014109,3.223910,3.223910,15606798
2021-07-20,3.224033,3.650759,3.151137,3.499384,3.499384,13635684
2021-07-21,3.492744,3.618371,3.370799,3.481566,3.481566,18337250
2021-07-22,3.481336,3.486022,3.382545,3.408455,3.408455,11677430
2021-07-23,3.408237,3.548222,3.333777,3.407672,3.407672,11891336
2021-07-24,3.408459,3.489012,3.272894,3.329821,3.329821,15658712
2021-07-25,3.330973,3.537767,3.209622,3.392735,3.392735,12417361
2021-07-26,3.393084,3.454346,3.124368,3.125022,3.125022,9314961
2021-07-27,3.129342,3.146816,3.024967,3.083425,3.083425,12219391
2021-07-28,3.083818,3.083818,2.838109,2.911021,2.911021,12712727
2021-07-29,2.908437,2.972028,2.800102,2.963637,2.963637,13188168
2021-07-30,2.963969,3.343127,2.948636,3.054455,3.054455,15545008
2021-07-31,3.054215,3.092141,3.045601,3.063429,3.063429,10630138
2021-08-01,3.063632,3.138176,2.983591,2.985869,2.985869,9793365
2021-08-02,2.985732,3.252114,2.972729,3.093916,3.093916,12356208
2021-08-03,3.094022,3.117736,2.967571,2.973920,2.973920,8581935
2021-08-04,2.973779,3.070722,2.949176,3.011132,3.011132,6586626
2021-08-05,3.011012,3.159215,2.925314,2.985963,2.985963,7560039
2021-08-06,2.985980,3.077229,2.962558,3.022201,3.022201,9963117
2021-08-07,3.021958,3.162925,2.997204,3.108771,3.108771,17809875
2021-08-08,3.108864,3.268334,3.049804,3.171138,3.171138,15856904
2021-08-09,3.172733,3.383202,3.172394,3.240195,3.240195,17459152
2021-08-10,3.240667,3.315124,3.129756,3.202497,3.202497,11523107
2021-08-11,3.203063,3.439274,3.185982,3.327303,3.327303,13158368
2021-08-12,3.326800,3.408508,3.172892,3.212430,3.212430,22388412
2021-08-13,3.213363,3.439691,3.212637,3.414125,3.414125,16909657
2021-08-14,3.413002,4.398090,3.389744,4.084630,4.084630,41289776
2021-08-15,4.085192,4.177496,3.687985,3.946754,3.946754,27531041
2021-08-16,3.946670,4.059356,3.708577,3.982504,3.982504,21328518
2021-08-17,3.981405,4.064677,3.716442,3.716442,3.716442,16736486
2021-08-18,3.716659,3.905293,3.663959,3.736079,3.736079,14290544
2021-08-19,3.736081,3.901126,3.699804,3.807694,3.807694,16343315
2021-08-20,3.807719,4.117947,3.795166,4.097106,4.097106,25239508
2021-08-21,4.096346,4.258136,3.935707,4.189633,4.189633,14749198
2021-08-22,4.185764,4.206621,4.049500,4.156430,4.156430,13365241
2021-08-23,4.156067,6.269287,4.081331,6.007405,6.007405,53825001
2021-08-24,6.015223,7.014879,5.630768,6.535435,6.535435,41121277
2021-08-25,6.549344,6.936725,6.016734,6.722026,6.722026,28751813
2021-08-26,6.722295,7.015723,6.254420,6.263363,6.263363,20479553
2021-08-27,6.262685,7.266689,6.216360,7.011252,7.011252,21648451
2021-08-28,7.022884,7.118254,6.610521,6.653022,6.653022,11967403
2021-08-29,6.651484,6.835624,6.400893,6.406193,6.406193,15263651
2021-08-30,6.406113,6.439361,6.117940,6.155178,6.155178,18055403
2021-08-31,6.155065,6.454669,6.116456,6.143703,6.143703,13392656
2021-09-01,6.143035,6.329209,6.026746,6.210379,6.210379,10656348
2021-09-02,6.210590,6.383439,6.102399,6.106933,6.106933,8568806
2021-09-03,6.107818,6.184681,5.766989,5.812953,5.812953,12061967
2021-09-04,5.808532,5.912740,5.739866,5.767864,5.767864,10884924
2021-09-05,5.769030,5.887142,5.686757,5.778516,5.778516,8572995
2021-09-06,5.778898,5.939525,5.644623,5.935506,5.935506,16749549
2021-09-07,5.936512,5.956750,5.096002,5.169468,5.169468,19949455
2021-09-08,5.170971,5.282580,5.059493,5.186939,5.186939,19348908
2021-09-09,5.078657,5.400887,5.020025,5.266413,5.266413,17141998
2021-09-10,5.266603,5.327421,4.975685,5.002501,5.002501,17340808
2021-09-11,5.002187,5.199818,4.966755,5.150146,5.150146,13603372
2021-09-12,5.151249,5.268539,5.099265,5.220193,5.220193,16249418
2021-09-13,5.219778,6.641658,5.089993,5.236018,5.236018,36517435
2021-09-14,5.236423,5.262542,5.071198,5.147145,5.147145,18831018
2021-09-15,5.147525,5.256825,5.032788,5.104092,5.104092,14259015
2021-09-16,5.103321,5.392726,5.031106,5.158065,5.158065,15668307
2021-09-17,5.158127,5.163391,4.899654,5.026307,5.026307,20544194
2021-09-18,5.025866,5.196756,5.018472,5.116318,5.116318,13467973
2021-09-19,5.116458,8.185378,5.047407,5.988096,5.988096,21163097
2021-09-20,5.990333,6.089924,4.661898,4.734587,4.734587,33147690
2021-09-21,4.734938,4.780484,4.416925,4.484973,4.484973,21507751
2021-09-22,4.484258,5.242834,4.478839,4.740089,4.740089,52212974
2021-09-23,4.744326,4.797626,4.628746,4.735749,4.735749,30207290
2021-09-24,4.735767,5.160151,4.528730,4.631927,4.631927,34225076
2021-09-25,4.632000,4.738565,4.576603,4.697860,4.697860,15420393
2021-09-26,4.697748,5.106033,4.550345,4.620993,4.620993,23560191
2021-09-27,4.621250,4.725671,4.416611,4.425341,4.425341,5550563
2021-09-28,4.424126,4.490832,4.312952,4.383607,4.383607,3506719
2021-09-29,4.383941,4.670892,4.372823,4.438475,4.438475,6278667
2021-09-30,4.442838,4.515462,4.413908,4.502371,4.502371,2402424
2021-10-01,4.505027,4.661803,4.436479,4.637729,4.637729,3702509
2021-10-02,4.638123,4.642404,4.535447,4.558469,4.558469,2702558
2021-10-03,4.559517,4.760564,4.448042,4.629170,4.629170,5416377
2021-10-04,4.630429,4.806023,4.591376,4.719115,4.719115,6138195
2021-10-05,4.720447,4.793127,4.586333,4.668432,4.668432,3888248
2021-10-06,4.666072,4.772237,4.533761,4.765883,4.765883,3823849
2021-10-07,4.764449,5.701809,4.692480,4.926662,4.926662,11494524
2021-10-08,4.922925,5.667315,4.894117,5.546865,5.546865,13263484
2021-10-09,5.547955,6.182654,5.489799,5.542551,5.542551,14482855
2021-10-10,5.542550,5.716874,5.521659,5.575449,5.575449,5193989
2021-10-11,5.574726,6.360225,5.530693,6.090892,6.090892,14819827
2021-10-12,6.089546,7.544100,6.016048,7.140699,7.140699,40129347
2021-10-13,7.141441,7.339880,6.822531,6.839280,6.839280,15456047
2021-10-14,6.845911,6.854666,6.473995,6.547732,6.547732,6373236
2021-10-15,6.547982,6.792866,6.179834,6.220568,6.220568,4899995
2021-10-16,6.225875,6.444953,6.152957,6.378920,6.378920,4640182
2021-10-17,6.350729,6.414175,6.196295,6.220224,6.220224,3446316
2021-10-18,6.218578,6.498074,6.181819,6.239774,6.239774,5049372
2021-10-19,6.240593,6.259571,5.660546,5.681487,5.681487,7265598
2021-10-20,5.679284,5.780495,5.463063,5.718644,5.718644,6047996
2021-10-21,5.715614,7.725519,5.709806,6.504330,6.504330,37899023
2021-10-22,6.504257,6.645572,6.396687,6.626796,6.626796,6736301
2021-10-23,6.628004,7.424347,6.609317,7.200662,7.200662,9763361
2021-10-24,7.191262,7.727379,6.982401,7.134843,7.134843,17929275
2021-10-25,7.145387,10.516610,7.128351,10.489915,10.489915,90754394
2021-10-26,10.465869,15.976450,10.462274,11.524165,11.524165,209355673
2021-10-27,11.528784,13.994455,10.086191,13.489288,13.489288,70398250
2021-10-28,13.448149,16.338036,13.448149,14.736284,14.736284,69016674
2021-10-29,14.737806,14.906022,13.467043,13.564552,13.564552,24354306
2021-10-30,13.548762,13.578891,12.721746,12.752029,12.752029,9628738
2021-10-31,12.757552,13.948765,12.712961,13.939407,13.939407,13420668
