date,price,symbol
3/13/2022,0.999268338,FRAX
3/14/2022,1.001602596,FRAX
3/15/2022,0.999021253,FRAX
3/16/2022,1.000579663,FRAX
3/17/2022,0.998958559,FRAX
3/18/2022,1.000469297,FRAX
3/19/2022,0.999740532,FRAX
3/20/2022,0.997974242,FRAX
3/21/2022,0.999308251,FRAX
3/22/2022,1.000172973,FRAX
3/23/2022,1.001892924,FRAX
3/24/2022,0.999569886,FRAX
3/25/2022,0.998305197,FRAX
3/26/2022,1.000574231,FRAX
3/27/2022,0.999236599,FRAX
3/28/2022,0.992817305,FRAX
3/29/2022,1.001276293,FRAX
3/30/2022,1.001027585,FRAX
3/31/2022,0.997218338,FRAX
4/1/2022,1.001371515,FRAX
4/2/2022,0.998854435,FRAX
4/3/2022,0.996675982,FRAX
4/4/2022,0.999116937,FRAX
4/5/2022,0.999691318,FRAX
4/6/2022,0.999011011,FRAX
4/7/2022,1.001496764,FRAX
4/8/2022,0.999127949,FRAX
4/9/2022,1.001168811,FRAX
4/10/2022,1.001168811,FRAX
4/11/2022,0.998761029,FRAX
4/12/2022,1.001497725,FRAX
4/13/2022,1.000898526,FRAX
4/14/2022,1.001186147,FRAX
4/15/2022,0.999774005,FRAX
4/16/2022,1.000937617,FRAX
4/17/2022,0.999167938,FRAX
4/18/2022,1.003575752,FRAX
4/19/2022,1.000442413,FRAX
4/20/2022,0.998310646,FRAX
4/21/2022,0.999761409,FRAX
4/22/2022,0.999795651,FRAX
4/23/2022,1.000360751,FRAX
4/24/2022,0.998141023,FRAX
4/25/2022,1.001060882,FRAX
4/26/2022,0.998339411,FRAX
4/27/2022,0.998252207,FRAX
4/28/2022,0.999860609,FRAX
4/29/2022,1.000548414,FRAX
4/30/2022,0.999497796,FRAX
5/1/2022,1.000180007,FRAX
5/2/2022,0.999018452,FRAX
5/3/2022,0.999111445,FRAX
5/4/2022,1.000202055,FRAX
5/5/2022,1.001256162,FRAX
5/6/2022,1.000735941,FRAX
5/7/2022,1.000001449,FRAX
5/8/2022,0.999145671,FRAX
5/9/2022,0.991384977,FRAX
5/10/2022,0.998454753,FRAX
5/11/2022,0.998874417,FRAX
5/12/2022,0.997476388,FRAX
5/13/2022,0.998691769,FRAX
5/14/2022,1.000857735,FRAX
5/15/2022,0.995743302,FRAX
5/16/2022,0.99880783,FRAX
5/17/2022,1.001209809,FRAX
5/18/2022,0.997079067,FRAX
5/19/2022,1.000249366,FRAX
5/20/2022,0.999754066,FRAX
5/21/2022,0.999015406,FRAX
5/22/2022,1.000346458,FRAX
5/23/2022,1.000246547,FRAX
5/24/2022,0.998784019,FRAX
5/25/2022,0.999072183,FRAX
5/26/2022,0.997180463,FRAX
5/27/2022,0.998481503,FRAX
5/28/2022,1.000301196,FRAX
5/29/2022,0.999090419,FRAX
5/30/2022,0.998297854,FRAX
5/31/2022,0.99950533,FRAX
6/1/2022,1.000201397,FRAX
6/2/2022,1.000415869,FRAX
6/3/2022,0.998469444,FRAX
6/4/2022,0.999061403,FRAX
6/5/2022,0.999653651,FRAX
6/6/2022,1.000278597,FRAX
6/7/2022,0.999679734,FRAX
6/8/2022,0.997165951,FRAX
6/9/2022,0.999216755,FRAX
6/10/2022,0.998107162,FRAX
6/11/2022,0.998981223,FRAX
6/12/2022,0.997937814,FRAX
6/13/2022,0.99888299,FRAX
6/14/2022,0.999938874,FRAX
6/15/2022,0.998797039,FRAX
6/16/2022,0.998547931,FRAX
6/17/2022,0.998042224,FRAX
6/18/2022,0.999509801,FRAX
6/19/2022,0.999661386,FRAX
6/20/2022,0.99994738,FRAX
6/21/2022,0.995624566,FRAX
6/22/2022,0.998586745,FRAX
6/23/2022,0.999170167,FRAX
6/24/2022,0.999478268,FRAX
6/25/2022,0.997860979,FRAX
6/26/2022,1.00101231,FRAX
6/27/2022,0.998319673,FRAX
6/28/2022,1.000944111,FRAX
6/29/2022,0.999157297,FRAX
6/30/2022,1.001091501,FRAX
