block_id,block
787,064XX S MAPLEWOOD AVE
788,062XX S TROY ST
789,055XX W AUGUSTA BLVD
790,069XX S SOUTH SHORE DR
791,050XX W HURON ST
792,031XX N RIDGEWAY AVE
793,022XX N MOBILE AVE
794,099XX S VAN VLISSINGEN RD
795,057XX S PAULINA ST
796,004XX E 41ST ST
797,049XX N KOSTNER AVE
798,012XX W ERIE ST
799,014XX E 69TH PL
800,001XX N MENARD AVE
801,107XX S LAFAYETTE AVE
802,053XX N NASHVILLE AVE
803,022XX E 103RD ST
804,077XX S ESSEX AVE
805,050XX S ELLIS AVE
806,001XX S CALIFORNIA AVE
807,108XX S NORMAL AVE
808,066XX S JUSTINE ST
809,021XX N CLARK ST
810,027XX W 36TH ST
811,009XX W WILSON AVE
812,007XX W 73RD ST
813,036XX W GRENSHAW ST
814,116XX S YALE AVE
815,083XX S MERRILL AVE
816,041XX N LAWLER AVE
817,110XX S AVENUE M
818,009XX N MICHIGAN AVE
819,106XX S AVENUE O
820,076XX N SHERIDAN RD
821,011XX W 50TH ST
822,100XX S YALE AVE
823,012XX E 79TH ST
824,064XX S MARSHFIELD AVE
825,018XX S BLUE ISLAND AVE
826,101XX S MALTA ST
827,012XX N LONG AVE
828,008XX W DAKIN ST
829,100XX S STATE ST
830,005XX E 72ND ST
831,037XX N CALIFORNIA AVE
832,005XX W MADISON ST
833,020XX S MICHIGAN AVE
834,0000X W MONROE ST
835,012XX W 117TH ST
836,065XX S ROCKWELL ST
837,092XX S BRANDON AVE
838,066XX N ROCKWELL ST
839,020XX N HOWE ST
840,028XX W AUGUSTA BLVD
841,106XX S WENTWORTH AVE
842,101XX S LONGWOOD DR
843,042XX W 62ND ST
844,036XX W DOUGLAS BLVD
845,010XX W DAKIN ST
846,062XX S BISHOP ST
847,083XX S HOLLAND RD
848,008XX E HYDE PARK BLVD
849,062XX S KEDZIE AVE
850,002XX N LATROBE AVE
851,056XX W WASHINGTON BLVD
852,108XX S HALSTED ST
853,0000X E 57TH ST
854,004XX W MELROSE ST
855,009XX N LARAMIE AVE
856,068XX S CRANDON AVE
857,027XX W HIRSCH ST
858,012XX W 72ND PL
859,049XX S LOOMIS BLVD
860,001XX N HOMAN BLVD
861,022XX S LEAVITT ST
862,005XX W MELROSE ST
863,018XX N MILWAUKEE AVE
864,044XX N CENTRAL AVE
865,094XX S EMERALD AVE
866,072XX N CLAREMONT AVE
867,134XX S HOUSTON AVE
868,011XX S INDEPENDENCE BLVD
869,007XX W 48TH PL
870,049XX S KOMENSKY AVE
871,043XX W DIVISION ST
872,042XX W CHICAGO AVE
873,021XX N KEYSTONE AVE
874,029XX N PINE GROVE AVE
875,047XX S LAKE PARK AVE
876,028XX N CLARK ST
877,007XX N LOCKWOOD AVE
878,014XX N AUSTIN BLVD
879,043XX W LEXINGTON ST
880,008XX N GREENVIEW AVE
881,111XX S MICHIGAN AVE
882,006XX W 103RD ST
883,080XX S CONSTANCE AVE
884,023XX W PERSHING RD
885,014XX W 109TH PL
886,0000X N PARKSIDE AVE
887,018XX S SPRINGFIELD AVE
888,004XX E ERIE ST
889,013XX W 57TH ST
890,035XX S EMERALD AVE
891,045XX S KEDVALE AVE
892,012XX S INDIANA AVE
893,075XX S DR MARTIN LUTHER KING JR DR
894,101XX S UNION AVE
895,023XX W MC LEAN AVE
896,121XX S WENTWORTH AVE
897,016XX W GREENLEAF AVE
898,016XX N OAKLEY AVE
899,025XX W ADDISON ST
900,017XX W PRYOR AVE
901,090XX S MERRILL AVE
902,047XX N WINCHESTER AVE
903,0000X E 9TH ST
904,053XX S PRAIRIE AVE
905,024XX E 74TH PL
906,045XX W THOMAS ST
907,116XX S VINCENNES AVE
908,018XX W MONROE ST
909,070XX S CONSTANCE AVE
910,008XX E 63RD ST
911,054XX W CORTLAND ST
912,028XX W 23RD ST
913,035XX S RHODES AVE
914,007XX W MADISON ST
915,015XX N KOSTNER AVE
916,044XX N KEYSTONE AVE
917,033XX W CHICAGO AVE
918,020XX W ARMITAGE AVE
919,080XX S YALE AVE
920,120XX S INDIANA AVE
