rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
"		4424							",https://boardgamegeek.com/boardgame/191387/star-trek-dice-game,191387,Star Trek: The Dice Game,1,1,90,45,90,2016,7.71149,5.64748,74,//cf.geekdo-images.com/images/pic2994207.jpg,12,"Dice Rolling, Worker Placement",188,"Dice, Print & Play, Science Fiction",Carl White,2
"		4425							",https://boardgamegeek.com/boardgame/3765/babylon-5-wars,3765,Babylon 5 Wars,2,2,60,60,60,1997,6.49492,5.65794,187,//cf.geekdo-images.com/images/pic52504.jpg,10,Hex-and-Counter,455,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction","Robert N. Glass, Bruce H. Graw",3.6087
"		4426							",https://boardgamegeek.com/boardgame/181325/completto,181325,Completto,2,4,30,30,30,2015,6.79806,5.6564,129,//cf.geekdo-images.com/images/pic2602632.jpg,8,Tile Placement,188,none,Heinz Meister,1
"		4427							",https://boardgamegeek.com/boardgame/22377/spartacus,22377,Spartacus,2,2,300,300,300,2009,6.71986,5.65555,141,//cf.geekdo-images.com/images/pic342194.jpg,12,"Campaign / Battle Card Driven, Point to Point Movement, Simulation",472,"Ancient, Civil War, Political, Wargame",John B. Firer,3.2857
"		4428							",https://boardgamegeek.com/boardgame/119407/dixit-jinx,119407,Dixit Jinx,3,6,15,15,15,2012,5.8078,5.65566,915,//cf.geekdo-images.com/images/pic1258844.jpg,8,"Acting, Simultaneous Action Selection, Singing, Voting",1708,"Bluffing, Card Game, Humor, Party Game, Real-time",Josep M. Allué,1.2222
"		4429							",https://boardgamegeek.com/boardgame/97683/south-african-railroads,97683,South African Railroads,3,6,40,40,40,2011,7.58116,5.65541,69,//cf.geekdo-images.com/images/pic977888.jpg,42,"Auction/Bidding, Stock Holding",89,"Economic, Trains, Transportation",John Bohrer,3.1667
"		4430							",https://boardgamegeek.com/boardgame/206471/eternity,206471,Eternity,3,5,40,20,40,2016,6.85984,5.65813,122,//cf.geekdo-images.com/images/pic3134908.jpg,10,Trick-taking,171,"Card Game, Environmental","Cyril Blondel, Jim Dratwa",2.25
"		4431							",https://boardgamegeek.com/boardgame/187289/here-kitty-kitty,187289,"Here, Kitty, Kitty!",3,6,30,30,30,2016,6.49931,5.65262,216,//cf.geekdo-images.com/images/pic3069257.jpg,10,none,556,Animals,Kris McCardel Ware,1.2222
"		4432							",https://boardgamegeek.com/boardgame/3572/invasion-america,3572,Invasion: America,2,5,240,240,240,1976,6.50256,5.65376,176,//cf.geekdo-images.com/images/pic178463.jpg,12,Hex-and-Counter,450,"Modern Warfare, Wargame",Jim Dunnigan,3.2
"		4433							",https://boardgamegeek.com/boardgame/77011/crown-kingdom,77011,For Crown & Kingdom,2,4,60,30,60,2016,6.93194,5.65705,108,//cf.geekdo-images.com/images/pic2896747.jpg,14,"Area Control / Area Influence, Area Movement, Modular Board",189,"Abstract Strategy, Medieval, Political",Dave Mansell,2
"		4434							",https://boardgamegeek.com/boardgame/148759/time-masters,148759,Time Masters,2,4,35,35,35,2014,6.57571,5.65525,177,//cf.geekdo-images.com/images/pic1984828.jpg,13,"Card Drafting, Deck / Pool Building",192,"Card Game, Fantasy","Nicholas Bodart, Pierre-Emmanuel Legrain",2.6
"		4435							",https://boardgamegeek.com/boardgame/2368/battlecars,2368,Battlecars,2,4,90,90,90,1983,6.1358,5.65002,338,//cf.geekdo-images.com/images/pic3265284.jpg,12,"Modular Board, Point to Point Movement, Take That, Variable Player Powers",591,"Dice, Fighting, Racing, Science Fiction","Gary Chalk, Ian Livingstone",1.9792
