fips,median_income,median_income_white,median_income_black,median_income_nativeamerican,median_income_asian,median_income_hispanic
13277,37653,47480,2370627198,,,
13279,33679,41875,2262928851,,,
13281,37000,37199,,,,
13283,38596,45664,21974,,,
13285,41489,49748,27204,,72557,51004
13287,31806,41092,240822499,,,
13289,30468,38080,20438,,,
13291,40799,4064548050,56319,,,
13293,35774,39387,2776925136,,,
13295,41632,42330,3009357926,,,
13297,54453,57341,32407,21783,82011,64000
13299,34909,40436,2461737813,,,
13301,29176,42344,19915,,,
13303,37932,52253,2332921477,,,
13305,38955,44301,22129,12212,,26875
13307,37063,51544,30120,,,
13309,27620,30807,15475,,,
13311,40888,41737,3225031508,,,
13313,40596,41076,26577,,52188,36447
13315,32043,38750,21512,,,
13317,32727,43893,20518,,26705,30385
13319,38485,44931,2698937813,,,
13321,37974,44709,2499430688,,,
15001,52108,52303,50221,28003,56380,41302
15003,74460,75175,62866,50593,77807,61601
15005,66250,,,,,
15007,65101,62964,66172,78605,66174,59022
15009,66476,62763,49893,49375,74310,50297
19001,46526,46330,,,,
19003,48043,48587,,,,
19005,45890,46212,1988632863,,,
19007,41394,41801,,,,
19009,46979,46840,,,,
19011,60606,60820,,16250,,
19013,48369,51200,25471,,51528,34397
19015,52985,52616,40938,,,
19017,62163,62058,12520873500,,,
19019,56150,56487,,,,
19021,48195,49912,19104,,74883,46411
19023,52360,52265,,,,
19025,44921,4484273125,40000,,,
19027,50559,51558,1368948750,,,
19029,43750,43972,,20750,,47917
19031,59047,5861958750,70278,,,
19033,46122,46361,38628,,41125,37011
19035,48599,48558,22193,,,
19037,47040,47344,30556,,,
19039,43327,42865,23932,,,
19041,50389,51044,26445,,,
19043,48007,4802351154,35250,,,
19045,50498,52613,19125,,14420,43678
19047,48084,47846,,58401,,41985
19049,76320,77282,41075,,78794,57583
19051,48888,4884286000,70250,,,
19053,38560,38682,,8580,,
19055,58274,58612,14671,,,
19057,44423,45519,19318,,76375,23700
19059,57265,57324,117841,,,
19061,54605,55889,18625,2499,47083,36944
19063,47795,47732,60324,,,
19065,44928,45513,884337759,,,
19067,44797,44947,54083,,,
19069,48605,50241,249931411,,,
19071,53324,53647,42500,,,
19073,46898,4726180000,67700,,,
19075,56750,56648,,,,
19077,51013,51382,57500,,,
19079,49813,51702,43710,,32132,
19081,52981,53187,30500,,,
19083,51019,50965,,28992,66833,47989
19085,53567,53709,38365,,,
19087,49321,4893851938,32304,,,
19089,49869,50151,,,,
19091,47252,47466,27188,,,
19093,46993,47633,29750,,,
19095,59375,60325,81287,,,
19097,49028,49616,53534,,,
19099,55033,55551,36635,,,
19101,42899,436152499,,,,
19103,55700,60022,27608,,39875,48688
19105,55060,55341,33641,,,
19107,43838,44524,29063,,,
19109,51496,51899,26174,,,
19111,43312,43871,31953,,53654,35068
19113,59322,60826,26900,40052,75086,35469
19115,51144,52341,36023,,34712,48667
19117,43962,44635,,,,
19119,57130,56956,,145750,,77857
19121,60060,6022644076,,,,
19123,48726,49339,43088,47857,53000,34083
19125,54693,54672,41250,,77054,35640
19127,53351,54565,39167,,54458,46698
19129,63979,64583,2499,8920,,117740
19131,49488,49426,,,,
19133,40302,40632,81146,,,
19135,46304,46424,,,,
19137,42418,43214,24792,,,
19139,53676,54315,21761,96352,85489,42368
19141,55227,5646991023,33364,,,
19143,49448,49140,54327,,,
19145,43912,43918112917,,,,
19147,47113,47188,47054,,60568,35714
19149,57130,57495,27143,,,
19151,45069,45714,2270841875,,,
19153,60061,62351,29164,22955,64090,41624
19155,51976,5211964455,42234,,,
19157,51006,51119,,,,
19159,47042,47167,,,,
19161,49572,49615,5458337969,,,
19163,55114,56953,32865,33056,67068,47304
19165,50952,50645,63692,,,
19167,61627,62970,36610,,,
19169,50438,5227921900,31179,,,
19171,55203,55770,45694,41625,,57292
19173,44246,45298,26000,,,
19175,44351,44797,,,,
19177,45111,45472,26346,,,
19179,42095,42455,21957,43125,57000,47212
19181,64447,64813,5665341273,,,
19183,56390,57218,4083337241,,,
19185,43358,43535,,,,
19187,42408,4247772831,,,,
19189,47668,4787869306,,,,
19191,54429,54119,,14375,,
19193,46720,47648,38203,22465,47180,37347
19195,48459,49419,249915625,,,
19197,43698,44444250001,38850,,,
16001,56356,57008,48844,34688,67771,45457
16003,39565,40120,,,,
16005,43779,44300,,42500,50472,38198
16007,48654,48600,73750,,,
16009,39863,40818,,33625,71198,43125
16011,50155,51519,,27000,52708,45245
16013,60088,6059760324,40645,,,
16015,44238,44167,,36250,,63333
16017,42171,422152499,54464,,,
16019,50762,51682,,24797,50469,36851
16021,38961,38078,,51029,,63448
16023,37891,38984,26823,,,
16025,42614,42614,,,,
16027,42888,43191,30799,31431,60449,36336
16029,58021,58212,42222,,,
16031,45695,46089,,33750,,36971
16033,33672,34141,26607,,,
16035,38837,38796,,34375,,51058
16037,39457,38876,,,,
16039,43848,44400,47353,,43000,37681
16041,48133,49589,26917,,,
16043,47988,49125,,36944,,33504
16045,40828,41617,25786,,,
16047,39930,42500,,33313,,34653
16049,38191,38700,,20950,,47841
16051,51171,51748,36115,,,
16053,41630,42237,,39602,,34464
16055,49403,49872,,37239,40000,52289
16057,42439,43394,16950,,,
16059,34329,33897,,60083,,
16061,36505,36378,,53750,,33250
16063,43273,43935,44732,,,
16065,32233,3227660673,27012,,,
16067,44853,45534,17875,,64583,37571
16069,48160,48169,143056,53487,,26844
16071,41338,41937,31354,,,
16073,33440,34906,,27625,,25223
16075,44257,44736,,41875,,39359
16077,44779,43551,,56186,,40921
16079,37665,37877,,,,
16081,53474,53775,41406,,,
16083,44048,45438,39915,25325,34745,34527
16085,48384,48796,,,,
16087,34775,3500026875,26080,,,
17001,45965,46776,23646,15859,49891,60764
17003,27265,34142,17166,,58750,28333
17005,47946,48504,45000,,,
17007,58248,57416,56845,103669,119256,52413
17009,50739,50493,,,,
17011,50423,50351,50709,,52431,42069
17013,53869,55147,,,,
17015,48631,4888853750,48125,,,
17017,47434,49527,3551536659,,,
17019,46495,52629,25921,47560,24601,36684
17021,45334,45615,1553665586,,,
17023,50517,50382,2499,,,
17025,44209,44224,,37917,,56094
17027,63236,64114,,9150,,75184
17029,39588,40775,15673,,,
17031,55251,65946,34289,42309,70485,45366
17033,47468,47670,101346,2499,81181,14655
17035,46061,464142499,26250,,,
17037,54101,57900,21072,,38824,41786
17039,53959,54467,,107917,,31466
17041,51810,51974,,49000,,41985
17043,79658,81187,51329,55500,95020,58347
17045,45691,4575560625,,,,
17047,44497,44549,2499,,,
17049,52224,5224365435,48125,,,
17051,43944,44007,,,,
17053,49947,49681,88077,55089,,43452
17055,39512,39761,41042,19191,31875,33125
17057,46083,4596721250,,,,
17059,39636,40133,,,,
17061,42565,42773,,,,
17063,65887,67212,3074356676,,,
17065,44159,44159,,,,
17067,47699,48171,,26250,40250,
17069,38838,3859691250,,,,
17071,47672,47672,,,,
17073,53480,54257,17679,,56544,38589
17075,47834,48692,21378,,48125,37167
17077,33871,38689,15280,22578,32132,20517
17079,54209,54238,,,,
17081,43247,44648,31696,,72798,36042
17083,53271,53261,61314,,,
17085,53221,53160120000,36224,,,
17087,42287,42559,42500,,,
17089,70696,77290,39620,36705,92529,49138
17091,52110,56820,28198,40823,71389,42650
17093,84385,86339,83685,,90037,62889
17095,39976,41632,1885231809,,,
17097,78026,80823,39812,54583,102820,49365
17099,50633,51022,31082,,65625,46320
17101,40841,41069,6050053150,,,
17103,52379,52653,61250,23512,,40625
17105,54254,54268,35000,,,
17107,50539,53480,16318,66094,49565,56908
17109,40314,40744,,31071,46544,
17111,77222,77649,68333,55750,95059,57853
17113,62211,64586,27227,42321,82436,39873
17115,47176,51454,21997,,73750,47067
17117,51206,51102,105039,,58490,78409
17119,53431,55845,30120,,47652,44482
17121,42238,43310,30912,13810,62632,23571
17123,53423,53658,53802,,,
17125,41567,41624,,,,
17127,40977,42512,23194,,35938,83452
17129,60486,60425,,,,
17131,54757,5446866500,45625,,,
17133,70859,71255,64417,,,
17135,46966,46862,66500,,,
17137,45978,47783,3026535714,,,
17139,49681,49910,35357,,,
17141,54849,55420,42070,66000,,38979
17143,51147,56363,25998,51250,83385,43125
17145,42478,43366,19917,,,
17147,66261,66763,42292,,,
17149,40588,40865,,8750,250001,39844
17151,39223,38851,,,,
17153,31980,35236,2510623500,,,
17155,56358,55776,63125,,,
17157,48158,50465,2687568500,,,
17159,44127,44340,31250,,,
17161,48817,50760,31869,18906,63359,40236
