fips,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins
13111,9310,2140,10093,2040,19403,4180
13113,47425,4750,50925,4698,98350,9448
13115,36663,8536,40916,7882,77579,16418
13117,85640,11472,87649,10870,173289,22342
13119,8671,2036,9360,1836,18031,3872
13121,395438,75916,432816,71007,828254,146923
13123,10809,3588,11237,2791,22046,6379
13125,1233,242,1243,274,2476,516
13127,30774,7351,35063,7594,65837,14945
13129,21972,5414,22625,5339,44597,10753
13131,9315,3037,9964,2735,19279,5772
13133,6205,1667,6972,1310,13177,2977
13135,330105,87272,355186,81567,685291,168839
13137,16605,3957,16796,3866,33401,7823
13139,73737,19196,76493,17175,150230,36371
13141,2620,447,3321,625,5941,1072
13143,11440,2323,12250,2189,23690,4512
13145,13962,1999,14769,1625,28731,3624
13147,9591,2477,10690,1905,20281,4382
13149,4696,946,4900,932,9596,1878
13151,85371,14877,94784,15133,180155,30010
13153,58947,10117,65869,9306,124816,19423
13155,3483,913,3663,807,7146,1720
13157,25164,4923,26283,4530,51447,9453
13159,5250,1356,5831,1056,11081,2412
13161,5847,1475,5753,1799,11600,3274
13163,5460,2074,6623,1709,12083,3783
13165,3388,1032,3609,811,6997,1843
13167,4053,936,3524,722,7577,1658
13169,11697,2189,12775,1798,24472,3987
13171,6918,1516,7795,1609,14713,3125
13173,3545,1171,4178,968,7723,2139
13175,18632,3499,21023,3685,39655,7184
13177,11578,1659,12983,1398,24561,3057
13179,22886,4140,27203,3953,50089,8093
13181,3005,613,3339,676,6344,1289
13183,5944,1405,7095,1139,13039,2544
13185,40735,10962,46699,10123,87434,21085
13187,12100,2752,13756,1907,25856,4659
13189,8135,1936,9121,2099,17256,4035
13191,5469,1281,6025,1132,11494,2413
13193,4552,1488,5046,1199,9598,2687
13195,11295,2515,12103,2143,23398,4658
13197,3072,1249,3655,663,6727,1912
13199,8287,1832,9123,1925,17410,3757
13201,2210,518,2575,471,4785,989
13205,7804,2078,8547,2342,16351,4420
13207,10708,1782,11425,1731,22133,3513
13209,3344,832,3630,785,6974,1617
13211,7275,1122,7953,1354,15228,2476
13213,14877,4265,16243,3793,31120,8058
13215,71343,14830,87018,13855,158361,28685
13217,40481,7653,45244,8348,85725,16001
13219,14971,1716,15812,1701,30783,3417
13221,6078,1142,6369,957,12447,2099
13223,61605,10000,65284,9849,126889,19849
13225,10354,2667,11558,2377,21912,5044
13227,12454,2293,12939,1782,25393,4075
13229,7350,1945,7718,1777,15068,3722
13231,7234,1444,7439,1428,14673,2872
13233,15636,4410,17711,3149,33347,7559
13235,3916,858,4421,852,8337,1710
13237,8179,2278,9375,1249,17554,3527
13239,855,251,1046,174,1901,425
13241,5685,2167,6431,1784,12116,3951
13243,2791,888,2898,620,5689,1508
13245,73605,15946,86184,15914,159789,31860
13247,32871,7965,36981,8361,69852,16326
13249,1907,610,2016,541,3923,1151
13251,5274,1358,5852,1327,11126,2685
13253,3165,893,3756,849,6921,1742
13255,24186,5838,28153,4617,52339,10455
13257,10161,2186,11520,1748,21681,3934
13259,1401,648,1860,389,3261,1037
13261,11738,2388,13950,2450,25688,4838
13263,2635,485,2787,563,5422,1048
13265,620,209,748,144,1368,353
13267,7168,1613,8696,1947,15864,3560
13269,2958,903,3593,739,6551,1642
13271,4484,1276,5636,1127,10120,2403
13273,3138,942,3922,881,7060,1823
13275,16665,4194,19432,3831,36097,8025
13277,14468,4956,16409,4533,30877,9489
13279,9405,3180,11303,2984,20708,6164
13281,4375,762,4735,764,9110,1526
13283,2427,519,2918,501,5345,1020
13285,26673,5391,30199,5172,56872,10563
13287,2846,1128,3240,770,6086,1898
13289,3447,682,3660,630,7107,1312
13291,8616,1695,9628,1331,18244,3026
13293,10356,1973,11483,2142,21839,4115
13295,27895,4896,28522,5676,56417,10572
13297,36422,5187,37677,6185,74099,11372
13299,12488,3237,14200,3448,26688,6685
13301,2094,438,2470,481,4564,919
13303,7449,1569,8563,1594,16012,3163
13305,10408,3006,11328,3135,21736,6141
13307,1238,127,1078,272,2316,399
13309,1508,335,1962,544,3470,879
13311,11160,2236,11932,2264,23092,4500
13313,39089,11898,40821,10887,79910,22785
13315,2808,532,3002,597,5810,1129
13317,3817,797,4416,788,8233,1585
13319,3862,674,4275,476,8137,1150
13321,7876,2283,8636,2197,16512,4480
15001,86553,8577,88674,6523,175227,15100
