fips,age_adjusted_mr,lower_95_ci_for_mr,upper_95_ci_for_mr,avg_deaths_per_year,recent_mr_trend,recent_5-year_mr-trend,lower_95_ci_mr-trend,upper_95_ci_mr-trend
48215,113.8 ,110.3, 117.3,837,falling,-1.0 ,-1.2, -0.8
48505,109 ,85.3, 137.2,15,stable,-0.9 ,-2.3, 0.5
48243,81 ,49.1, 157.3,4,stable,-1.1 ,-3.5, 1.4
48229,75 ,44.6, 119.3,4,*,*,*,*
48377,70 ,49, 98.4,8,falling,-3.6 ,-5.1, -2.1
48033,* ,*, *,3 or fewer,*,*,*,*
48109,* ,*, *,3 or fewer,*,*,*,*
48173,* ,*, *,3 or fewer,*,*,*,*
48261,* ,*, *,3 or fewer,*,*,*,*
48263,* ,*, *,3 or fewer,*,*,*,*
48269,* ,*, *,3 or fewer,*,*,*,*
48301,* ,*, *,3 or fewer,*,*,*,*
48311,* ,*, *,3 or fewer,*,*,*,*
48393,* ,*, *,3 or fewer,*,*,*,*
48431,* ,*, *,3 or fewer,*,*,*,*
48443,* ,*, *,3 or fewer,*,*,*,*
49000,121.8 ,119.9, 123.8,3186,falling,-1.1 ,-1.2, -0.9
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
49031,197.6 ,118.3, 318.3,5,*,*,*,*
49025,170.7 ,135.5, 213.2,18,stable,-0.7 ,-2.1, 0.8
49013,160 ,134.9, 188.5,29,stable,-0.6 ,-1.6, 0.4
49001,156.8 ,114.4, 209.2,10,stable,-1.0 ,-2.3, 0.2
49019,153.8 ,123.9, 189.2,19,falling,-1.4 ,-2.4, -0.5
49007,149.7 ,128.5, 173.6,37,stable,-0.6 ,-1.4, 0.2
49041,146.5 ,125.9, 169.7,37,stable,-0.4 ,-1.2, 0.4
49045,141 ,126.1, 156.9,71,falling,-1.2 ,-1.8, -0.6
49021,136.7 ,121.5, 153.2,62,stable,-0.8 ,-1.7, 0.1
49047,134.4 ,116.1, 154.6,40,falling,-1.2 ,-1.9, -0.4
