fips,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend
42013,479.8 ,464.8, 495.2,846,stable,-0.1 ,-0.6, 0.4
42011,479.7 ,471, 488.4,2490,stable,-0.3 ,-0.6, 0.0
42065,479.3 ,454.2, 505.5,300,stable,-0.1 ,-0.8, 0.5
42133,479.2 ,470.9, 487.5,2697,falling,-0.6 ,-0.9, -0.3
42001,478.9 ,462.3, 496,682,stable,-0.4 ,-1.0, 0.1
42015,478.2 ,456.9, 500.3,420,stable,-0.5 ,-1.1, 0.1
42099,478 ,452.7, 504.4,290,stable,-0.3 ,-1.0, 0.3
42131,477.7 ,446, 511.3,187,falling,-1.2 ,-1.9, -0.5
42091,477.6 ,471.5, 483.7,5048,falling,-0.5 ,-0.8, -0.2
42005,476 ,456, 496.7,475,stable,0.1 ,-0.5, 0.7
42069,475.7 ,464.1, 487.6,1378,stable,-0.3 ,-0.8, 0.1
42009,474.1 ,451, 498.3,349,stable,-0.4 ,-1.1, 0.3
42059,473.7 ,445.9, 503,233,stable,0.0 ,-0.7, 0.7
42123,471.6 ,446, 498.5,286,stable,-0.9 ,-1.9, 0.1
42049,470.2 ,459.7, 480.9,1639,falling,-0.4 ,-0.8, -0.1
42025,470.2 ,450, 491.2,446,falling,-0.8 ,-1.5, -0.1
42029,468.9 ,461.1, 476.8,2933,falling,-3.0 ,-5.4, -0.5
42111,467.9 ,449.2, 487.2,525,stable,-0.6 ,-1.2, 0.0
42115,462.5 ,437.6, 488.7,295,stable,-0.3 ,-0.8, 0.2
42043,461.1 ,450.6, 471.8,1571,stable,-0.3 ,-0.7, 0.0
42075,459.9 ,445.7, 474.4,855,stable,-3.9 ,-9.3, 1.8
42031,459.6 ,433, 487.6,242,falling,-0.8 ,-1.5, -0.1
42071,459.3 ,451.9, 466.8,3102,falling,-0.5 ,-0.8, -0.3
42033,456.1 ,438.2, 474.6,523,falling,-1.0 ,-1.7, -0.3
42103,454.8 ,433.3, 477.2,381,falling,-0.9 ,-1.5, -0.3
42057,454.5 ,413.6, 498.8,97,stable,-0.2 ,-1.2, 0.9
42113,449.5 ,391.9, 515.7,52,falling,-7.1 ,-11.4, -2.6
42083,447.1 ,421.8, 473.6,253,stable,-0.8 ,-1.7, 0.0
42055,446.7 ,433.4, 460.3,917,falling,-1.4 ,-2.3, -0.5
42035,443.7 ,416.9, 471.8,221,stable,-0.7 ,-1.7, 0.3
42105,443.2 ,405.5, 483.9,117,stable,-0.3 ,-1.4, 0.9
42119,437.2 ,412.6, 463,247,falling,-0.9 ,-1.8, -0.1
42063,435.1 ,417, 453.8,482,falling,-1.0 ,-1.5, -0.6
42041,434.7 ,424.3, 445.4,1401,falling,-2.0 ,-2.7, -1.3
